term,coefficient,class
president donald,1.6833872038881232,real
wednesday,1.3333571223946707,real
washington,1.2573768211017702,real
thursday,1.2115989221856067,real
tuesday,1.2054294159467591,real
president barack,1.1598349755210993,real
thats,1.1580712527997434,real
reuters,1.0987671913214414,real
london,1.0797369791028517,real
friday,1.0511713619029543,real
said statement,1.0391877571995456,real
washington president,1.0185360501077252,real
said,0.9834458066642966,real
monday,0.9662627001447739,real
im,0.8806239897748169,real
said thursday,0.869049851991967,real
nov,0.8599045977055583,real
showed,0.8557918618939899,real
rival,0.8255270083135867,real
there,0.7805728395376214,real
factbox,0.7776350210339918,real
ive,0.7649277509361493,real
hillary clinton,0.7597337949165194,real
he,0.7433719813523704,real
said tuesday,0.7409382826602404,real
dont,0.7396385697002298,real
news conference,0.6973675668138667,real
spokesman,0.6916678862723964,real
twitter,0.6741834519991164,real
representative,0.67200508146216,real
via,-2.4536944032316215,fake
video,-2.3068376350325237,fake
president trump,-1.7387479143052256,fake
breaking,-1.5402205206017938,fake
gop,-1.4638745843294063,fake
hillary,-1.3211880247880112,fake
rep,-1.1001861657606293,fake
watch,-0.9803612553883434,fake
image via,-0.9654949364847007,fake
liberal,-0.9343142031430528,fake
sen,-0.9309569136994605,fake
mr,-0.9071798787660807,fake
isi,-0.8979396924559866,fake
image,-0.8599000657434155,fake
reportedly,-0.7882205380388054,fake
washington post,-0.784425944042192,fake
really,-0.7528724829540692,fake
host,-0.7438839271483634,fake
obama,-0.7416110099726463,fake
saidthe,-0.7060285813329847,fake
dc,-0.7027532168784619,fake
believe,-0.6963852155855049,fake
wire,-0.683906297767729,fake
gov,-0.6721629788018575,fake
morning,-0.6700075998671828,fake
night,-0.6687078593870803,fake
america,-0.6672952083015067,fake
terrorist,-0.6609455062272069,fake
century wire,-0.6572921383811734,fake
entire,-0.6513155654483215,fake
