test_index,matched_train_index,max_cosine_similarity,test_label,matched_train_label,test_text_preview,matched_train_text_preview
71,15623,0.9973735327102964,1,1,"Post-election conundrum awaits Germany's Merkel  BERLIN (Reuters) - Barring an upset, the main uncertainty surrounding Europe s most important election this year is not whether Angela Merkel will continue to lead Germany after next week s vote, but w","Post-election conundrum awaits Germany's Merkel BERLIN (Reuters) - Barring an upset, the main uncertainty surrounding Europe s most important election this year is not whether Angela Merkel will continue to lead Germany after this weekend s vote, but"
3141,19828,0.9933246812978787,1,1,"Factbox: Trump fills top jobs for his administration (Reuters) - U.S. President-elect Donald Trump named Goldman Sachs Group Inc executive Gary Cohn on Monday to head his White House National Economic Council, a group tasked with coordinating economi","Factbox: Trump fills top jobs for his administration (Reuters) - U.S. President-elect Donald Trump is expected to pick Goldman Sachs executive Gary Cohn to head his White House National Economic Council, a group tasked with coordinating economic poli"
1066,2748,0.9915481253774175,0,0,"WHY THIS BLUE-COLLAR DEMOCRAT STRONGHOLD County Is Still Fighting For Trump: “He was the hope we were all waiting on, the guy riding up on the white horse” [VIDEO] AP News  The regulars amble in before dawn and claim their usual table, the one next t","WHY THIS Democrat Stronghold County Voted For Trump…And Why They’ll Vote For Him Again: “He’s a fighter…nobody’s gonna push him into a corner” [VIDEO] AP News  The regulars amble in before dawn and claim their usual table, the one next to an old box "
2414,4423,0.9904552739370114,0,0,"NFL’S PHONY PATRIOTISM: US Defense Department Paid NFL DISGUSTING $4.5 Million For On-Field Flag Appearances…Welcome Home Tributes Every day, the NFL gives fans another reason to stop supporting them. Although the NFL agreed to refund a small portion","NFL’S PHONY PATRIOTISM: US Defense Department Paid NFL $5.4 MILLION For On-Field Flag Appearances, Welcome Home Veteran Tributes Every day, the NFL gives fans another reason to stop supporting them. Although the NFL agreed to refund a small portion o"
3618,12491,0.9901267475238199,0,0,"LOU DOBBS Destroys Paul Ryan In Epic Rant: “Just get out of the way!” [Video] Lou Dobbs rips on Speaker Paul Ryan because he s a do-nothing leader! As Dobbs says,  There s no mystery why Paul Ryan has a history of poor leadership Remember this?Fundin","BARACK OBAMA Finds Friend In “Fundamental Transformation Of America”: Shocking Way Ryan Betrayed Americans With $1.1 Trillion Bill Funding for Sanctuary Cities, benefits for illegal aliens, fully funded refugee programs, quadruples number of work vis"
929,4113,0.9812706521441558,1,1,"'Nearly man' Ramaphosa edges closer to South Africa's top job JOHANNESBURG (Reuters) - The nearly man of South African politics, deputy president Cyril Ramaphosa, took a big step towards the top job on Monday when he was elected by a whisker as head ","South Africa's nearly man Ramaphosa may lead country at last JOHANNESBURG (Reuters) - The nearly man of South African politics, Cyril Ramaphosa, is at last in with a chance of becoming president after being overlooked for years. Ramaphosa s political"
3047,7580,0.9797370339406432,1,1,"Factbox: Trump's policies on immigration, economy, other issues (Reuters) - Republican presidential candidate Donald Trump wants to build a wall on the border with Mexico, boost spending on the military and slap trade tariffs on China. Here are those","Factbox: Trump's policies on immigration, economy, other issues (Reuters) - U.S. Republican presidential candidate Donald Trump wants to build a wall on the border with Mexico, boost spending on the military and slap trade tariffs on China. Here are "
3640,23314,0.9792629925363019,0,0,DEAR RNC: An Everyday American Writes A Letter To Explain The Trump Phenomenon This letter was sent to 100% FED Up! by an anonymous author:It doesn t matter who you support for President in 2016. This letter will make you want to stand up and cheer f,80 YEAR OLD MAN Writes MUST READ Letter To RNC To Explain Why He’s Voting For Trump This letter was sent to 100% FED Up! by an anonymous author:It doesn t matter who you support for President in 2016. This letter will make you want to stand up and ch
1447,19150,0.9788943803084044,1,1,What we know about U.S. probes of Russian meddling in 2016 election (Reuters) - U.S. intelligence agencies have alleged that Russia interfered in the 2016 presidential election to benefit President Donald Trump. Law enforcement agencies and congressi,Q&A: What we know about U.S. probes of Russian meddling in 2016 election (Reuters) - Former FBI Director James Comey testified before the U.S. Senate Intelligence Committee on June 8 about Russian involvement in the 2016 presidential election. Presid
2482,25150,0.9778313530229746,0,0,"BLOGGER Comes Clean About Hannity Sexual Harassment Claim…Hannity’s Former Producer Publicly Calls Her Out On LIE About Why She Quit During a discussion about sexual harassment charges against FOX News host Bill O Reilly, blogger Debbie Schlussel was",BOOM! WATCH SEAN HANNITY Hit Back At Bogus Sexual Harassment Allegations: “I can no longer let the slander against me slide” [Video] Thank you Sean Hannity for hitting back at the latest woman to claim harassment! Hannity released a statement and spo
